name,description,category,price,compare_at_price,quantity,moq,status,featured,seo_title,seo_description,keywords,low_stock_threshold,preorder_shipping,images,variant_color,variant_color_hex,variant_size,variant_price,variant_stock
"Lattafa Mayar Cherry Intense","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Mayar,Cherry Intense",5,,01.png,,,,,
"Armaf Club de Nuit Maleka","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Maleka",5,,02.png,,,,,
"Armaf Club de Nuit Precieux IV","Extrait de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Precieux IV",5,,03.png,,,,,
"Lattafa Yara Candy","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Yara,Candy",5,,04.png,,,,,
"Lattafa Petra","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Lattafa,Petra",5,,05.png,,,,,
"Maison Asrar Vanilla Seduction","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Women's Fragrances",0,,100,1,draft,false,,,"Maison Asrar,Vanilla Seduction",5,,06.png,,,,,
"Armaf Club de Nuit Intense Man","Eau de toilette. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Armaf,Club de Nuit,Intense Man",5,,07.png,,,,,
"Rasasi Hawas Black for Him","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Rasasi,Hawas,Black",5,,08.png,,,,,
"Afnan 9 PM Rebel","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Afnan,9 PM,Rebel",5,,09.png,,,,,
"Afnan 9 PM","Eau de parfum. Name and imagery from supplier packaging. Set your selling price and final copy in admin.","Men's Fragrances",0,,100,1,draft,false,,,"Afnan,9 PM",5,,10.png,,,,,
